timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435297045712,-0.875,0.8125,0.25,1.219951330996446,-0.875,-0.8125,0.25
1435297045714,-0.375,0.875,0.1875,0.9702609185162515,-0.375,-0.875,0.1875
1435297045907,-0.3125,1.6875,0.125,1.7207374872420256,-0.3125,-1.6875,0.125
1435297046107,-0.25,0.4375,0.375,0.6281172263200556,-0.25,-0.4375,0.375
1435297046305,-0.75,1.0625,0.375,1.353525489231732,-0.75,-1.0625,0.375
1435297046504,3.1875,1.75,0.3125,3.649700330164108,3.1875,-1.75,0.3125
1435297046702,-0.4375,1,0.3125,1.1353688827865593,-0.4375,-1,0.3125
1435297046901,-0.375,0.8125,0.0625,0.8970437559004577,-0.375,-0.8125,0.0625
1435297047298,0,2.1875,0.25,2.201739369226067,0,-2.1875,0.25
1435297047300,0.1875,0.4375,0.4375,0.6465050270492876,0.1875,-0.4375,0.4375
1435297047696,-0.75,1.375,-0.375,1.6105123408406408,-0.75,-1.375,-0.375
1435297047895,-0.375,2,0.0625,2.035812184362791,-0.375,-2,0.0625
1435297047898,-0.4375,0.875,0.0625,0.9802741963348827,-0.4375,-0.875,0.0625
1435297048094,-0.625,0.875,0.1875,1.0915155747858112,-0.625,-0.875,0.1875
1435297048292,-1.25,1,0.125,1.6056540723331412,-1.25,-1,0.125
1435297048491,-0.125,0.3125,0.1875,0.385275875185561,-0.125,-0.3125,0.1875
1435297048690,-1.1875,1,-0.5625,1.6512306017028633,-1.1875,-1,-0.5625
1435297048889,-0.3125,2.25,0.25,2.285313162347778,-0.3125,-2.25,0.25
1435297049088,-0.3125,1,0.0625,1.0495534764841665,-0.3125,-1,0.0625
1435297049485,-0.6875,0.625,0.3125,0.9802741963348827,-0.6875,-0.625,0.3125
1435297049486,-0.875,-0.3125,0.1875,0.9478594305064438,-0.875,0.3125,0.1875
1435297049684,-0.4375,0.8125,0.1875,0.9416574483324602,-0.4375,-0.8125,0.1875
1435297049882,-0.875,0.9375,0.1875,1.2960275845829825,-0.875,-0.9375,0.1875
1435297050082,-0.625,0.875,0.1875,1.0915155747858112,-0.625,-0.875,0.1875
1435297050280,-0.375,0.6875,0,0.7831227553838542,-0.375,-0.6875,0
1435297050478,-0.125,2.5625,0.1875,2.5723894534070846,-0.125,-2.5625,0.1875
1435297050877,-0.3125,0.5,0.5,0.7730823048033113,-0.3125,-0.5,0.5
1435297050879,-0.875,1.3125,1.625,2.2647088664991797,-0.875,-1.3125,1.625
1435297051075,1.25,1.9375,0.0625,2.3065802609057418,1.25,-1.9375,0.0625
